e,scale_analytic_magnified,scale_galsim_magnified,scale_wh_magnified,scale_analytic,scale_galsim,scale_wh
0.21447236180904525,1.0412627576607159,1.0412526779225044,1.0452857762251446,1.017032633586907,1.0171455592912735,1.020962036742305
0.21934673366834173,1.0432785061804613,1.0432724275931036,1.0472562596688355,1.0178715136129555,1.01780998470835,1.0217523967520263
0.22422110552763821,1.0453510836378233,1.0453270565378399,1.0492887436252458,1.018734666701413,1.01870170625433,1.0225720671668248
0.2290954773869347,1.047481363508064,1.0475075677728627,1.0513844511534558,1.0196225034432667,1.0195410744733413,1.023421784399278
0.23396984924623115,1.04967025119282,1.0496627760273751,1.0535446382240783,1.0205354493707965,1.020680821701403,1.0243022983459753
0.23884422110552764,1.051918685051665,1.0519522291452708,1.055770594335514,1.0214739454271324,1.0215861216169073,1.0252143723531997
0.24371859296482412,1.0542276374807158,1.0541855282924608,1.0580636431683206,1.0224384484558384,1.0223977735484926,1.0261587831957575
0.2485929648241206,1.0565981160403854,1.0567977125351302,1.0604251432794876,1.0234294317112862,1.0233965825521352,1.0271363210696882
0.2534673366834171,1.059031164634493,1.0589114904520858,1.0628564888384913,1.0244473853906153,1.0243202027425353,1.028147789599598
0.2583417085427136,1.0615278647430524,1.0616853781967466,1.065359110407078,1.0254928171881075,1.0254853592616426,1.0291940058613718
0.26321608040201006,1.0640893367111737,1.0640515006117373,1.0679344757648066,1.0265662528728237,1.026623549814793,1.0302758004210237
0.26809045226130657,1.0667167410966365,1.066815754779365,1.0705840907824717,1.0276682368903869,1.0275966702876709,1.0313940173904614
0.272964824120603,1.0694112800788236,1.069410189723812,1.0733095003456328,1.0287993329898246,1.0288030932005547,1.03254951450095
0.27783919597989953,1.0721741989318239,1.0721906548617717,1.0761122893305575,1.0299601248764014,1.0298834981632567,1.0337431631950769
0.282713567839196,1.075006787564667,1.0749161663211637,1.078994083635012,1.031151216891415,1.0312576311276402,1.0349758487380258
0.2875879396984925,1.0779103821317788,1.0779289049167764,1.0819565512664364,1.0323732347199415,1.0324293106429305,1.036248470349001
0.29246231155778896,1.0808863667169155,1.0809520979652747,1.0850014034901676,1.0336268261275527,1.033572505157279,1.0375619413536368
0.29733668341708547,1.0839361750939676,1.083910893878179,1.088130396040505,1.0349126617270452,1.0349291467207302,1.0389171893582743
0.3022110552763819,1.0870612925682055,1.0871168503423565,1.0913453303975529,1.0362314357762428,1.0362447968146677,1.0403151564469846
0.30708542713567843,1.0902632579016986,1.0902014595028926,1.094648055132913,1.0375838670079602,1.037632753313848,1.0417567994022565
0.3119597989949749,1.093543665326806,1.0934595901840458,1.098040467327481,1.0389706994932277,1.0389861803994056,1.0432430899502907
0.31683417085427135,1.096904166651834,1.0970213213886086,1.1015245140647407,1.040392703538893,1.0404150083039572,1.0447750150318607
0.32170854271356786,1.1003464734631268,1.1003212674796659,1.1051021940031631,1.0418506766207238,1.0418006628811904,1.0463535770997536
0.3265829145728643,1.103872359428053,1.103784095761145,1.1087755590314816,1.0433454443531498,1.0432581330720865,1.0479797944438085
0.3314572864321608,1.107483662703556,1.1074842288532574,1.1125467160108433,1.0448778614967675,1.0447460830629103,1.049654701544636
0.3363316582914573,1.1111822884551257,1.111218198971651,1.1164178286080508,1.0464488130047451,1.046565762216561,1.0513793494571253
0.3412060301507538,1.114970211491273,1.1148617668210736,1.1203911192243399,1.048059215109239,1.0481085206783909,1.053154806224896
0.34608040201005025,1.118849479018793,1.1188375077695356,1.1244688710244062,1.0497100164489164,1.0496676482094183,1.0549821573268992
0.35095477386934676,1.122822213524324,1.122809231364721,1.1286534300706526,1.0514021992386602,1.0513678072468091,1.0568625061574226
0.3558291457286432,1.1268906157879315,1.1269033120212602,1.13294720756793,1.053136780482472,1.0531535374596779,1.0587969745408143
0.3607035175879397,1.1310569680346827,1.1311277230500303,1.1373526822243507,1.0549148132305681,1.0548088432698957,1.0607867032823017
0.3655778894472362,1.135323637230385,1.1352547864846305,1.14187240273409,1.0567373878815707,1.056775662364588,1.062832852756341
0.3704522613065327,1.1396930785279171,1.139499465019855,1.1465089903884544,1.0586056335306437,1.0585511829207312,1.064936603534018
0.37532663316582915,1.1441678388707994,1.144051576480473,1.1512651418218702,1.0605207193643162,1.0604450547537627,1.0670991570510846
0.38020100502512566,1.1487505607608899,1.1488396303668977,1.1561436318998688,1.0624838561026284,1.0625312946929224,1.0693217363183127
0.3850753768844221,1.153443986197321,1.1533950573225362,1.1611473167565851,1.0644962974891066,1.0644560926361044,1.0716055866759238
0.3899497487437186,1.1582509607940235,1.1581549326540235,1.1662791369897567,1.0665593418289265,1.066506097439206,1.0739519765939676
0.3948241206030151,1.1631744380834212,1.16326709365881,1.1715421210217287,1.0686743335754374,1.0685779601047647,1.0763621985206133
0.3996984924623116,1.1682174840140807,1.1682689924090113,1.1769393886355168,1.0708426649650338,1.0708141582645982,1.078837569780443
0.40457286432160805,1.1733832816503451,1.1733149151016538,1.1824741546955684,1.0730657777001216,1.0730941562893352,1.0813794335249474
0.40944723618090456,1.178675136082176,1.178706728091144,1.1881497330635034,1.0753451646796799,1.0753901146585692,1.0839891597375757
0.414321608040201,1.1840964795536295,1.1839234956443392,1.1939695407197888,1.0776823717766162,1.0778339987488448,1.0866681462958119
0.41919597989949753,1.189650876818601,1.189585646675752,1.199937102103054,1.0800789996608062,1.0799195350803632,1.0894178200929219
0.424070351758794,1.1953420307326377,1.1953162844090055,1.206056053679523,1.0825367056663415,1.0825412588333343,1.0922396382221775
0.4289447236180905,1.2011737880898183,1.2012298559060657,1.212330148755923,1.0850572057011092,1.0849885192058195,1.09513508922653
0.43381909547738695,1.2071501457138367,1.207238236352133,1.2187632625501166,1.0876422761964193,1.0877076307537794,1.0981056944169236
0.43869346733668346,1.2132752568126097,1.2133140015975632,1.225359397534731,1.0902937560938897,1.0903231444903052,1.1011530092626234
0.4435678391959799,1.2195534376058632,1.2194714276848213,1.2321226890701031,1.0930135488663257,1.0930522646906315,1.1042786248571672
0.44844221105527643,1.225989174235295,1.2260147912768784,1.2390574113440376,1.0958036245687657,1.0956594786743876,1.1074841694638022
0.4533165829145729,1.2325871299670825,1.232688917716156,1.2461679836371151,1.0986660219152895,1.0986524227308403,1.110771310144501
0.4581909547738694,1.2393521526966267,1.2393716142556443,1.2534589769336428,1.1016028503765893,1.1016352165893732,1.1141417544769665
0.46306532663316585,1.2462892827656187,1.246413889102675,1.2609351208998163,1.1046162922926566,1.1044462131953348,1.1175972523643147
0.4679396984924623,1.2534037611017113,1.2533188903867871,1.268601311252225,1.1077086049942986,1.1076256332271375,1.1211395979424603
0.4728140703517588,1.2607010376913075,1.260732952235918,1.2764626175415796,1.1108821229265426,1.1108783381988598,1.124770631590588
0.4776884422110553,1.2681867803962996,1.2683838077330418,1.284524291378379,1.1141392597663373,1.1141072118801585,1.1284922420504693
